est,err,est_card,true_card,query_dur_ms
psample_2000_0_0.180,1.0,1,1,81.4809799194336
psample_2000_0_0.180,1.0144927536231885,69,70,76.16901397705078
psample_2000_0_0.180,1.010989010989011,92,91,79.64539527893066
psample_2000_0_0.180,1.1428571428571428,8,7,71.3346004486084
psample_2000_0_0.180,1.0,3,3,74.1424560546875
psample_2000_0_0.180,1.0123456790123457,82,81,70.62315940856934
psample_2000_0_0.180,1.0,3,3,72.91412353515625
psample_2000_0_0.180,1.0,30,30,70.72091102600098
psample_2000_0_0.180,1.032258064516129,32,31,72.24917411804199
psample_2000_0_0.180,1.0,3,3,74.53083992004395
psample_2000_0_0.180,1.0,5,5,72.14140892028809
psample_2000_0_0.180,1.0,1,1,73.55880737304688
psample_2000_0_0.180,1.0,3,3,72.70574569702148
psample_2000_0_0.180,1.0,3,3,73.41599464416504
psample_2000_0_0.180,1.0,1,1,72.28517532348633
psample_2000_0_0.180,1.0,1,1,75.23655891418457
psample_2000_0_0.180,1.0508474576271187,62,59,75.2105712890625
psample_2000_0_0.180,1.5,3,2,73.56786727905273
psample_2000_0_0.180,1.0,1,1,73.87471199035645
psample_2000_0_0.180,2.0,2,1,116.15943908691406
